customer id,gender,first,last,age,job type,occupation,martial status,email,postal,province,city,income,em eligible,dm eligible,lang,segment,treatment,channel
100051,Female,Tayten,Zack,26,parttime,7139 Other amusement and recreation industries,Single,Tayten_Zack@yahoo.com,E1W 8F6,NB,Port Susannastad,413345.86,True,True,F,41,41C,NoContact
100144,Male,Nylah,Worsham,47,parttime,6211 Offices of physicians,Single,Nylah_Worsham@yahoo.com,N7P 1I1,NS,West Dorisbury,421939.5,False,True,F,41,41C,NoContact
100162,Female,Grayson,Workman,45,fulltime,5221 Depository credit intermediation,Married,Grayson_Workman@yahoo.com,C8P 3R0,NL,Lake Dannie,51962.9,True,True,F,21A,21AC,NoContact
100163,Male,Dezmond,Workman,34,parttime,5414 Specialized design services,Single,Dezmond_Workman21@gmail.com,P3C 4G2,ON,South Kiannatown,409583.53,True,True,E,41,41C,NoContact
100230,Male,Mariajose,Witmer,33,parttime,5172 Wireless telecommunications carriers (except satellite),Single,Mariajose.Witmer77@hotmail.com,B5O 1G1,NT,West Daisha,406508.92,True,False,E,41,41C,NoContact
100259,Female,Taggart,Wingfield,52,fulltime,Retired,Married,Taggart_Wingfield21@gmail.com,K7L 9L0,PE,Kelsiefurt,418272.8,True,True,E,21A,21AC,NoContact
100282,Female,Aubrey,Williamson,31,parttime,4143 Home furnishings wholesaler-distributors,Single,Aubrey_Williamson@yahoo.com,B1H 5W3,NL,Dickinsonport,410332.3,True,True,F,41,41C,NoContact
100285,Female,Arjan,Williamson,47,fulltime,Retired,Married,Arjan_Williamson@yahoo.com,H5L 3N2,NS,Macejkovicmouth,414129.5,True,False,F,22,22C,NoContact
100310,Female,Abril,Wilborn,30,fulltime,9112-9119 Other federal services,Single,Abril_Wilborn21@gmail.com,B7Q 5W7,NT,Mayeville,43538.88,True,False,E,22,22C,NoContact
100321,Female,Jencarlos,Wieland,35,fulltime,5171 Wired telecommunications carriers,Married,Jencarlos_Wieland@yahoo.com,C3L 8M1,NS,North Isom,40208.0,True,True,F,21B,21BC,NoContact
100341,Male,Deirdre,Whitten,37,fulltime,5221 Depository credit intermediation,Separate,Deirdre.Whitten77@hotmail.com,A5G 1Q5,NL,East Shanyport,423133.0,True,True,E,21A,21AC,NoContact
100367,Female,Madaline,Whitesell,30,parttime,4481 Clothing stores,Single,Madaline_Whitesell21@gmail.com,A7W 1T2,NB,Buckton,410602.57,True,True,E,41,41C,NoContact
100396,Male,Kaiden,Whitacre,47,fulltime,5415 Computer systems design and related services,Married,Kaiden_Whitacre@yahoo.com,C1G 9P2,SK,West Noah,80734.5,False,True,F,22,22C,NoContact
100403,Female,Judah,Whatley,48,fulltime,Retired,Married,Judah_Whatley21@gmail.com,A6D 4I6,NB,Emardport,416097.9,True,True,E,21B,21BC,NoContact
100464,Female,Latrell,Weil,32,parttime,"5418 Advertising, public relations, and related services",Married,Latrell.Weil77@hotmail.com,E8U 0C5,NS,Lake Wilfredo,413663.32,False,True,E,41,41C,NoContact
